race_id,season,location,driver_id,driver_code,team,resultposition,gridposition,avg_lap,median_lap,std_lap,best_lap,pit_count,avg_pit_loss,tyre_mix,avg_stint_length,nolaps,tracklength
7,2014,Montreal,9,MAS,Williams,12,5,84.92485507246377,80.12,12.846686985682295,78.504,2,25.9805,2,23.333333333333332,70,4361.0
7,2014,Montreal,10,BUT,McLaren,4,9,85.20835714285712,80.435,12.908416301829014,78.759,2,24.2715,2,23.666666666666668,70,4361.0
7,2014,Montreal,11,RAI,Ferrari,10,10,85.80725714285715,80.4535,13.414660827666312,78.529,2,24.073,2,23.666666666666668,70,4361.0
7,2014,Montreal,12,VET,RedBull,3,3,85.11538571428574,80.34700000000001,12.775901367325087,79.171,2,23.622,2,23.666666666666668,70,4361.0
7,2014,Montreal,13,SUT,Sauber,13,16,86.51239130434782,81.634,12.738049946815654,80.226,2,23.8855,2,23.333333333333332,70,4361.0
7,2014,Montreal,14,KOB,Caterham,18,21,95.69147826086959,84.577,18.457589099115264,83.13,0,0.0,1,24.0,70,4361.0
7,2014,Montreal,15,BOT,Williams,7,4,85.37725714285713,80.507,12.769629115953451,79.321,2,23.9695,2,23.666666666666668,70,4361.0
7,2014,Montreal,16,PER,ForceIndia,11,13,84.9226811594203,80.702,12.68498647949934,79.491,1,23.907,2,35.0,70,4361.0
7,2014,Montreal,17,CHI,Marussia,21,18,,,,,0,0.0,1,1.0,70,4361.0
7,2014,Montreal,18,BIA,Marussia,22,19,,,,,0,0.0,1,1.0,70,4361.0
7,2014,Montreal,19,ERI,Caterham,20,20,122.89785714285715,124.823,8.302246531884636,111.041,0,0.0,1,8.0,70,4361.0
7,2014,Montreal,20,GUT,Sauber,14,22,86.481125,81.951,13.64361723030165,80.112,3,24.513666666666666,2,32.5,70,4361.0
7,2014,Montreal,21,MAL,LotusF1,19,17,95.55161904761904,82.847,19.678507782543345,81.514,0,0.0,1,22.0,70,4361.0
7,2014,Montreal,22,GRO,LotusF1,15,14,86.6582372881356,81.593,13.638927072953509,79.65,2,23.899500000000003,2,20.0,70,4361.0
8,2014,Spielberg,1,HAM,Mercedes,2,9,74.32264788732394,73.814,3.130795152757712,72.217,2,22.3905,2,24.0,71,4318.0
8,2014,Spielberg,2,RIC,RedBull,8,5,74.90842253521126,74.051,3.2336803343292555,73.06,2,21.432499999999997,2,24.0,71,4318.0
8,2014,Spielberg,3,ROS,Mercedes,1,3,74.2954366197183,73.706,2.9967490420329748,72.598,2,21.569000000000003,2,24.0,71,4318.0
8,2014,Spielberg,4,MAG,McLaren,7,6,74.74657746478873,74.201,3.1906622002425045,72.746,2,21.776000000000003,2,24.0,71,4318.0
